CodigoCliente,NombreCliente,NombreContacto,ApellidoContacto,Telefono,Fax,LineaDireccion1,LineaDireccion2,Ciudad,Region,Pais,CodigoPostal,LimiteCredito
1,DGPRODUCTIONS GARDEN,Daniel G,GoldFish,5556901745,5556901746,False Street 52 2 A,null,San Francisco,null,USA,24006,3000.0
3,Gardening Associates,Anne,Wright,5557410345,5557410346,Wall-e Avenue,null,Miami,Miami,USA,24010,6000.0
4,Gerudo Valley,Link,Flaute,5552323129,5552323128,Oaks Avenue nº22,null,New York,null,USA,85495,12000.0
5,Tendo Garden,Akane,Tendo,55591233210,55591233211,Null Street nº69,null,Miami,null,USA,696969,600000.0
6,Lasas S.A.,Antonio,Lasas,34916540145,34914851312,C/Leganes 15,null,Fuenlabrada,Madrid,Spain,28945,154310.0
7,Beragua,Jose,Bermejo,654987321,916549872,C/pintor segundo,Getafe,Madrid,Madrid,España,28942,20000.0
8,Club Golf Puerta del hierro,Paco,Lopez,62456810,919535678,C/sinesio delgado,Madrid,Madrid,Madrid,España,28930,40000.0
9,Naturagua,Guillermo,Rengifo,689234750,916428956,C/majadahonda,Boadilla,Madrid,Madrid,España,28947,32000.0
10,DaraDistribuciones,David,Serrano,675598001,916421756,C/azores,Fuenlabrada,Madrid,Madrid,España,28946,50000.0
11,Madrileña de riegos,Jose,Tacaño,655983045,916689215,C/Lagañas,Fuenlabrada,Madrid,Madrid,España,28943,20000.0
12,Lasas S.A.,Antonio,Lasas,34916540145,34914851312,C/Leganes 15,null,Fuenlabrada,Madrid,Spain,28945,154310.0
13,Camunas Jardines S.L.,Pedro,Camunas,34914873241,34914871541,C/Virgenes 45,C/Princesas 2 1ºB,San Lorenzo del Escorial,Madrid,Spain,28145,16481.0
14,Dardena S.A.,Juan,Rodriguez,34912453217,34912484764,C/Nueva York 74,null,Madrid,Madrid,Spain,28003,321000.0
15,Jardin de Flores,Javier,Villar,654865643,914538776,C/ Oña 34,null,Madrid,Madrid,España,28950,40000.0
16,Flores Marivi,Maria,Rodriguez,666555444,912458657,C/Leganes24,null,Fuenlabrada,Madrid,España,28945,1500.0
17,Flowers, S.A,Beatriz,Fernandez,698754159,978453216,C/Luis Salquillo4,null,Montornes del valles,Barcelona,España,24586,3500.0
18,Naturajardin,Victoria,Cruz,612343529,916548735,Plaza Magallón 15,null,Madrid,Madrid,España,28011,5050.0
19,Golf S.A.,Luis,Martinez,916458762,912354475,C/Estancado,null,Santa cruz de Tenerife,Islas Canarias,España,38297,30000.0
20,AYMERICH GOLF MANAGEMENT, SL,Mario,Suarez,964493072,964493063,C/Letardo,null,Barcelona,Cataluña,España,12320,20000.0
21,Aloha,Cristian,Rodrigez,916485852,914489898,C/Roman 3,null,Canarias,Canarias,España,35488,50000.0
22,El Prat,Francisco,Camacho,916882323,916493211,Avenida Tibidabo,null, Barcelona,Cataluña,España,12320,30000.0
23,Sotogrande,Maria,Santillana,915576622,914825645,C/Paseo del Parque,null,Sotogrande,Cadiz,España,11310,60000.0
24,Vivero Humanes,Federico,Gomez,654987690,916040875,C/Miguel Echegaray 54,null,Humanes,Madrid,España,28970,7430.0
25,Fuenla City,Tony,Muñoz Mena,675842139,915483754,C/Callo 52,null,Fuenlabrada,Madrid,España,28574,4500.0
26,Jardines y Mansiones CACTUS SL,Eva María,Sánchez,916877445,914477777,Polígono Industrial Maspalomas, Nº52,Móstoles,Madrid,Madrid,España,29874,76000.0
27,Jardinerías Matías SL,Matías,San Martín,916544147,917897474,C/Francisco Arce, Nº44,Bustarviejo,Madrid,Madrid,España,37845,100500.0
28,Agrojardin,Benito,Lopez,675432926,916549264,C/Mar Caspio 43,null,Getafe,Madrid,España,28904,8040.0
29,Top Campo,Joseluis,Sanchez,685746512,974315924,C/Ibiza 32,null,Humanes,Madrid,España,28574,5500.0
30,Jardineria Sara,Sara,Marquez,675124537,912475843,C/Lima 1,null,Fenlabrada,Madrid,España,27584,7500.0
31,Campohermoso,Luis,Jimenez,645925376,916159116,C/Peru 78,null,Fuenlabrada,Madrid,España,28945,3250.0
32,france telecom,FraÃ§ois,Toulou,(33)5120578961,(33)5120578961,6 place d Alleray 15Ã¨me,null,Paris,null,France,75010,10000.0
33,Musée du Louvre,Pierre,Delacroux,(33)0140205050,(33)0140205442,Quai du Louvre,null,Paris,null,France,75058,30000.0
35,Tutifruti S.A,Jacob,Jones,2 9261-2433,2 9283-1695,level 24, St. Martins Tower.-31 Market St.,null,Sydney,Nueva Gales del Sur,Australia,2000,10000.0
36,FLORES S.L.,Antonio,Romero,654352981,685249700,Avenida España,null,Madrid,Fuenlabrada,España,29643,6000.0
37,THE MAGIC GARDEN,Richard,Mcain,926523468,9364875882,Lihgting Park,null,London,London,United Kingdom,65930,10000.0
38,El Jardin Viviente S.L,Justin,Smith,2 8005-7161,2 8005-7162,176 Cumberland Street The rocks,null,Sydney,Nueva Gales del Sur,Australia,2003,8000.0
